Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
Discorsi di Enrico De Nicola, Enrico Altavilla,  Enrico Gonzales. Scritti di Collino Pansa, Giuseppe Polillo;01.1.AFIDIS;Libro edito;;Associazione Forense Italiana;;;1956;Milano;Giuffrè;Politica;Venturati;Venturati;;;
Rinascita. 1944-1962;01.1.ALARIN.1;Libro edito;1;Alatri, Paolo;;;1966;Firenze;Landi;Politica,Comunismo;Venturati;Venturati;;;
Rinascita. 1944-1962;01.1.ALARIN.2;Libro edito;2;Alatri, Paolo;;;1966;Firenze;Landi;Politica,Comunismo;Venturati;Venturati;;;
Rinascita. 1944-1962;01.1.ALARIN.3;Libro edito;3;Alatri, Paolo;;;1966;Firenze;Landi;Politica,Comunismo;Venturati;Venturati;;;
Una crociata per la giustizia;01.1.ALBCRO;Libro edito;;Albanese, Angelo;;;1980;Roma;La Piramide;Politica,Giuridico;Venturati;Venturati;;;
Il problema storico dell'arretratezza economica;01.1.ALEPRO;Libro edito;;Alexander Gerschenkron;;;1965;Torino;Einaudi;Politica,Storia,Economia;Venturati;Venturati;;;
Poesie e canti della resistenza palestinese;01.1.ALFPOE;Libro edito;;Al Fat'h;;;1972;Milano;Edizioni movimento studentesco;Politica,Resistenza,Comunismo,Socialismo;Venturati;Venturati;;;
Venti lettere a un amico;01.1.ALLVEN;Libro edito;;Alliluieva, Svetlana;;;1967;Milano;Mondadori;Biografico,Comunismo;Venturati;Venturati;;;
Fascismo. Inchiesta socialista sulle gesta dei fascisti in Italia;01.1.AMBFAS;Libro edito;;Ambrosoli, Luigi;;;1963;Milano;Edizioni Avanti!;Inchiesta,Fascismo;Venturati;Venturati;;;
Né aderire né sabotare 1915-1918;01.1.AMBNÉA;Libro edito;;Ambrosoli, Luigi;;;1961;Milano;Edizioni Avanti!;Storia,Grande Guerra;Venturati;Venturati;;;
Fascismo e movimento operaio;01.1.AMEFAS;Libro edito;;Amendola, Giorgio;;;1975;Roma;Editori Riuniti;Storia,Fascismo,Operaismo,Comunismo;Venturati;Venturati;;;
Una scelta di vita;01.1.AMESCE;Libro edito;;Amendola, Giorgio;;;1976;Milano;Rizzoli;Biografico,Comunismo;Venturati;Venturati;;;
Tra passione e ragione;01.1.AMETRA;Libro edito;;Amendola, Giorgio;;;1982;Milano;Rizzoli;Biografico,Comunismo;Venturati;Venturati;;;
Un'isola;01.1.AMEUNI;Libro edito;;Amendola, Giorgio;;;1980;Milano;Rizzoli;Biografico,Comunismo;Venturati;Venturati;;;
Rosa Luxemburg. Scritti scelti;01.1.AMOROS;Libro edito;;Amodio, Luciano;;;1963;Milano;Edizioni Avanti!;Politica,Socialismo,Filosofia politica;Venturati;Venturati;;;
L'africa e la comunità economica europea;01.1.ANDILAF;Libro edito;;Andreis, Mario;;;1967;Torino;Einaudi;Economia,Esteri;Venturati;Venturati;;;
Trent'anni di storia italiana (1915-1945);01.1.ANTTRE;Libro edito;;Antonicelli, Franco;;;1961;Torino;Einaudi;Storia,Fascismo,Resistenza;Venturati;Venturati;;;
Mondo Operaio 1956-1965;01.1.ARFMON.1;Libro edito;1;Arfé, Gaetano;;;1974;Firenze;Landi;Politica,Socialismo;Venturati;Venturati;;;
Mondo Operaio 1956-1965;01.1.ARFMON.2;Libro edito;2;Arfé. Gaetano;;;1974;Firenze;Landi;Politica,Socialismo;Venturati;Venturati;;;
Storia dell'Avanti! 1896-1926;01.1.ARFSTO.I;Libro edito;I;Arfé, Gaetano;;;1956;Milano-Roma;Edizioni Avanti!;Storia,Socialismo;Venturati;Venturati;;;
Storia dell'Avanti! 1926-1940;01.1.ARFSTO.II;Libro edito;II;Arfé, Gaetano;;;1958;Milano-Roma;Edizioni Avanti!;Storia,Socialismo;Venturati;Venturati;;;
